City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Ushuaia,AR,-54.8,-68.3,47.86,46,0,3.44,clear sky
Butaritari,KI,3.0707,172.7902,81.36,78,58,17.25,light rain
Neiafu,TO,-18.65,-173.9833,77.68,78,40,11.5,scattered clouds
New Norfolk,AU,-42.7826,147.0587,48.7,84,100,2.06,overcast clouds
Tuktoyaktuk,CA,69.4541,-133.0374,29.08,76,100,9.17,overcast clouds
Vestmanna,FO,62.1564,-7.1664,49.12,81,75,24.16,broken clouds
Trairi,BR,-3.2778,-39.2689,82.09,66,7,16.06,clear sky
Newport,GB,51.5877,-2.9984,58.82,75,12,7.07,few clouds
Vaini,TO,-21.2,-175.2,75.36,88,40,9.22,scattered clouds
Namie,JP,37.4833,141.0,61.99,95,100,4.65,overcast clouds
Norman Wells,CA,65.282,-126.8329,32.04,93,75,6.91,broken clouds
Mar Del Plata,AR,-38.0023,-57.5575,55.42,73,0,18.41,clear sky
Bambous Virieux,MU,-20.3428,57.7575,71.85,68,75,9.22,broken clouds
Busselton,AU,-33.65,115.3333,48.49,75,10,12.88,clear sky
Itaituba,BR,-4.2761,-55.9836,95.16,49,20,11.5,few clouds
Tarauaca,BR,-8.1614,-70.7656,91.18,43,83,2.51,broken clouds
Tautira,PF,-17.7333,-149.15,77.4,75,100,11.16,light rain
Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,79,51,8.01,broken clouds
Rikitea,PF,-23.1203,-134.9692,73.99,69,0,5.68,clear sky
Boa Vista,BR,2.8197,-60.6733,76.98,73,75,18.41,broken clouds
Woodward,US,36.4337,-99.3904,85.96,20,0,9.22,clear sky
East London,ZA,-33.0153,27.9116,67.86,88,11,15.77,few clouds
Manado,ID,1.487,124.8455,72.37,94,20,1.14,few clouds
Avarua,CK,-21.2078,-159.775,73.45,68,40,11.5,scattered clouds
Petauke,ZM,-14.2426,31.3253,76.62,26,0,10.71,clear sky
Mataura,NZ,-46.1927,168.8643,47.48,99,25,5.55,moderate rain
Saint-Philippe,RE,-21.3585,55.7679,67.59,76,34,11.48,scattered clouds
Novichikha,RU,52.204,81.3877,29.12,87,3,7.7,clear sky
Vila Velha,BR,-20.3297,-40.2925,78.75,78,0,11.5,clear sky
Augustow,PL,53.8432,22.9798,48.18,91,48,8.01,scattered clouds
Albany,US,42.6001,-73.9662,58.24,68,100,1.01,overcast clouds
Acari,PE,-15.4311,-74.6158,76.59,50,27,9.86,scattered clouds
Nabire,ID,-3.3667,135.4833,74.89,89,87,3.22,overcast clouds
Saint George,US,37.1041,-113.5841,84.43,49,0,13.8,clear sky
Yellowknife,CA,62.456,-114.3525,43.32,70,75,32.99,light rain
Itai,BR,-23.4178,-49.0906,77.36,53,72,2.89,broken clouds
Puerto Ayora,EC,-0.7393,-90.3518,75.16,90,79,5.01,broken clouds
Bredasdorp,ZA,-34.5322,20.0403,55.92,89,4,8.3,clear sky
Ixtapa,MX,20.7,-105.2,83.23,83,100,4.61,overcast clouds
Punta Arenas,CL,-53.15,-70.9167,51.91,40,0,10.36,clear sky
Port Lincoln,AU,-34.7333,135.8667,60.51,73,100,8.77,overcast clouds
Pevek,RU,69.7008,170.3133,31.06,96,100,8.08,overcast clouds
Abu Samrah,SY,35.3029,37.1841,78.42,40,86,7.61,overcast clouds
Lasa,IT,46.6166,10.7002,53.37,93,27,7.02,scattered clouds
Chuy,UY,-33.6971,-53.4616,66.87,50,0,7.14,clear sky
Husavik,IS,66.0449,-17.3389,45.43,88,100,7.31,overcast clouds
Samarai,PG,-10.6167,150.6667,81.61,79,89,10.54,overcast clouds
Shimoda,JP,34.6667,138.95,67.1,81,100,8.39,overcast clouds
Kununurra,AU,-15.7667,128.7333,75.18,78,100,4.61,overcast clouds
Bozoum,CF,6.3193,16.3799,70.07,93,94,1.77,light rain
Fortuna,US,40.5982,-124.1573,59.67,73,17,5.61,few clouds
Hobart,AU,-42.8794,147.3294,49.05,92,75,6.91,broken clouds
Kaitangata,NZ,-46.2817,169.8464,41.2,86,19,9.35,few clouds
Acarau,BR,-2.8856,-40.12,83.26,66,7,20.78,clear sky
Bermejo,AR,-32.8833,-68.8,84.11,15,0,14.97,clear sky
Chase,CA,50.8165,-119.6857,65.28,42,0,0.45,clear sky
Khatanga,RU,71.9667,102.5,21.85,96,100,9.89,overcast clouds
Kerman,IR,30.2832,57.0788,71.46,28,0,6.91,clear sky
Zhigalovo,RU,54.8097,105.1578,30.13,87,100,8.19,overcast clouds
Kodiak,US,57.79,-152.4072,53.11,71,75,3.44,broken clouds
Dengzhou,CN,37.8086,120.7508,66.33,91,64,7.47,broken clouds
Le Port,RE,-20.9373,55.2919,69.76,74,71,4.56,broken clouds
Arlit,NE,18.7369,7.3853,99.09,8,0,12.08,clear sky
Brownsville,US,25.9018,-97.4975,88.09,48,75,13.8,broken clouds
Phuket,TH,8.0,98.25,86.13,88,40,2.3,scattered clouds
Kieta,PG,-6.2167,155.6333,78.13,82,70,3.42,broken clouds
Gladstone,AU,-23.85,151.25,62.53,82,75,5.75,broken clouds
Aasiaat,GL,68.7098,-52.8699,31.21,82,98,2.57,overcast clouds
Jamestown,US,42.097,-79.2353,61.52,68,75,13.8,broken clouds
La Ronge,CA,55.1001,-105.2842,71.85,37,20,16.11,few clouds
Andros Town,BS,24.7,-77.7667,85.96,54,47,12.62,scattered clouds
Hervey Bay,AU,-25.2986,152.8535,57.02,93,11,13.0,few clouds
Sangar,RU,63.9242,127.4739,19.02,89,67,6.71,broken clouds
Broken Hill,AU,-31.95,141.4333,56.23,53,50,11.52,scattered clouds
Coquimbo,CL,-29.9533,-71.3436,60.53,72,40,10.36,scattered clouds
Pontes E Lacerda,BR,-15.2261,-59.3353,93.72,37,100,5.46,overcast clouds
Port Elizabeth,ZA,-33.918,25.5701,65.32,96,75,8.05,broken clouds
Ilo,PE,-17.6394,-71.3375,64.53,70,10,7.87,clear sky
Karratha,AU,-20.7377,116.8463,72.79,50,55,7.9,broken clouds
San Quintin,MX,30.4833,-115.95,71.94,68,37,12.77,scattered clouds
Torbay,CA,47.6666,-52.7314,50.58,62,75,11.99,broken clouds
Provideniya,RU,64.3833,-173.3,34.72,80,13,9.22,few clouds
Qaanaaq,GL,77.484,-69.3632,10.04,74,17,7.65,few clouds
Acapulco,MX,16.8634,-99.8901,84.02,74,75,2.3,broken clouds
Hambantota,LK,6.1241,81.1185,80.04,77,91,21.9,overcast clouds
Ancud,CL,-41.8697,-73.8203,59.11,57,100,3.91,overcast clouds
Waingapu,ID,-9.6567,120.2641,79.2,81,72,1.52,broken clouds
Berlevag,NO,70.8578,29.0864,40.95,87,100,6.91,overcast clouds
Yulara,AU,-25.2406,130.9889,64.69,66,15,3.51,few clouds
Eldorado,BR,-23.7869,-54.2836,77.52,65,18,6.96,few clouds
Grindavik,IS,63.8424,-22.4338,48.67,100,100,24.16,overcast clouds
Sao Filipe,CV,14.8961,-24.4956,78.15,72,100,12.08,overcast clouds
Tiznit,MA,29.5833,-9.5,78.04,31,0,3.09,clear sky
Saskylakh,RU,71.9167,114.0833,25.16,95,100,14.81,light snow
Cape Town,ZA,-33.9258,18.4232,61.88,77,0,5.01,clear sky
Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,78,75,12.66,broken clouds
Ribeira Grande,PT,38.5167,-28.7,73.8,88,40,10.36,scattered clouds
Hithadhoo,MV,-0.6,73.0833,81.82,68,100,12.57,overcast clouds
Asilah,MA,35.465,-6.0348,73.36,70,0,16.13,clear sky
Oak Ridge,US,36.0104,-84.2696,64.29,66,100,4.61,overcast clouds
Lompoc,US,34.6391,-120.4579,71.78,74,100,6.91,overcast clouds
Tura,IN,25.5198,90.2201,73.62,97,100,3.22,overcast clouds
Dumai,ID,1.6833,101.45,73.38,99,99,2.57,overcast clouds
Juba,SS,4.8517,31.5825,76.44,67,24,2.8,few clouds
Mamallapuram,IN,12.6264,80.1722,86.05,72,96,8.25,overcast clouds
Xining,CN,36.6167,101.7667,44.31,64,100,3.51,overcast clouds
Sao Domingos Do Prata,BR,-19.865,-42.9683,80.51,55,53,6.02,broken clouds
Castro,BR,-24.7911,-50.0119,71.51,61,75,4.43,broken clouds
Nelson Bay,AU,-32.7167,152.15,54.0,96,45,6.98,scattered clouds
Belaya,UA,49.029,25.7706,49.41,85,10,16.75,clear sky
Carnarvon,AU,-24.8667,113.6333,66.33,60,0,13.62,clear sky
Concarneau,FR,47.875,-3.9225,59.79,78,100,13.0,overcast clouds
Hilo,US,19.7297,-155.09,86.29,68,0,4.61,clear sky
Dikson,RU,73.5069,80.5464,29.28,90,100,20.07,overcast clouds
Cidreira,BR,-30.1811,-50.2056,64.71,79,74,6.73,broken clouds
Bengkulu,ID,-3.8004,102.2655,74.8,92,100,6.46,overcast clouds
Piacabucu,BR,-10.4056,-36.4344,78.73,63,2,9.91,clear sky
Port Hawkesbury,CA,45.6169,-61.3485,52.92,56,75,9.22,broken clouds
Katsuura,JP,35.1333,140.3,71.38,72,100,6.42,overcast clouds
Brewster,US,41.3973,-73.6171,57.61,62,100,13.8,overcast clouds
Pisco,PE,-13.7,-76.2167,66.25,68,0,5.75,clear sky
Espergaerde,DK,56.0,12.5667,55.87,87,32,5.01,scattered clouds
Hirara,JP,24.8,125.2833,81.41,70,5,11.03,clear sky
Victoria,HK,22.2855,114.1577,83.32,84,10,4.0,clear sky
Zarand,IR,30.8127,56.564,67.93,29,0,4.59,clear sky
Lebu,CL,-37.6167,-73.65,56.82,72,100,6.35,overcast clouds
Tiksi,RU,71.6872,128.8694,24.87,88,100,12.28,overcast clouds
Cherskiy,RU,68.75,161.3,26.92,94,100,11.18,overcast clouds
Kapaa,US,22.0752,-159.319,75.09,92,100,12.66,moderate rain
Roma,US,43.2128,-75.4557,65.62,47,0,10.36,clear sky
Longyearbyen,SJ,78.2186,15.6401,37.24,87,75,4.61,broken clouds
Siyabuswa,ZA,-25.1132,29.0445,79.21,34,0,11.41,clear sky
Xuddur,SO,4.1213,43.8894,75.85,68,98,20.51,overcast clouds
Taoudenni,ML,22.6783,-3.9836,98.01,20,11,7.38,few clouds
Hermanus,ZA,-34.4187,19.2345,60.8,85,0,13.96,clear sky
Araouane,ML,18.9048,-3.5265,96.84,25,11,8.88,few clouds
Sitka,US,57.0531,-135.33,49.89,81,0,0.0,clear sky
Muli,MV,2.9167,73.5667,81.34,76,96,18.12,heavy intensity rain
Vardo,NO,70.3705,31.1107,40.98,93,100,4.61,overcast clouds
Sechura,PE,-5.5569,-80.8222,73.85,60,97,14.94,overcast clouds
Grand Gaube,MU,-20.0064,57.6608,72.0,65,66,5.99,broken clouds
Thompson,CA,55.7435,-97.8558,69.96,40,40,19.57,scattered clouds
Nedjo,ET,9.5046,35.5019,57.13,93,100,2.26,overcast clouds
Kungurtug,RU,50.5994,97.5228,14.11,61,0,1.3,clear sky
Georgetown,MY,5.4112,100.3354,79.9,91,40,4.61,scattered clouds
Cotacachi,EC,0.3,-78.2667,74.75,44,96,10.33,overcast clouds
Khasan,RU,42.4308,130.6434,61.95,84,100,16.02,overcast clouds
Hachinohe,JP,40.5,141.5,60.71,94,100,5.61,overcast clouds
Mogwase,ZA,-25.185,27.2665,80.8,18,0,6.96,clear sky
Ulaangom,MN,49.9811,92.0667,26.04,56,0,2.75,clear sky
Coihaique,CL,-45.5752,-72.0662,66.81,34,0,8.05,clear sky
Atuona,PF,-9.8,-139.0333,76.59,77,41,20.71,light rain
Saint Anthony,US,45.0205,-93.218,74.66,45,0,11.5,clear sky
Altay,CN,47.8667,88.1167,31.1,36,0,6.87,clear sky
Nara,JP,34.6851,135.8049,70.92,50,100,3.4,overcast clouds
Maragogi,BR,-9.0122,-35.2225,78.21,73,62,11.01,broken clouds
Broome,US,42.2506,-75.833,60.1,70,75,11.5,broken clouds
Faanui,PF,-16.4833,-151.75,77.94,74,7,15.14,light rain
Mogadishu,SO,2.0371,45.3438,76.93,83,84,17.67,broken clouds
Puerto Gaitan,CO,4.3133,-72.0816,87.84,51,13,5.5,few clouds
Mattru,SL,7.6244,-11.8332,73.9,96,83,4.23,moderate rain
Ketchikan,US,55.3422,-131.6461,52.27,76,40,8.05,scattered clouds
Cap-Aux-Meules,CA,47.3821,-61.8597,48.25,57,40,21.85,scattered clouds
Dingle,PH,10.9995,122.6711,76.6,92,100,6.38,overcast clouds
Felanitx,ES,39.4696,3.1483,71.01,60,0,4.0,clear sky
Cabatuan,PH,10.8794,122.486,76.87,89,100,7.18,overcast clouds
Praia Da Vitoria,PT,38.7333,-27.0667,71.85,94,75,20.0,light intensity shower rain
Mackay,AU,-21.15,149.2,69.67,76,64,7.11,light rain
Cabo San Lucas,MX,22.8909,-109.9124,95.61,48,20,9.22,few clouds
Russellville,US,35.2784,-93.1338,83.98,30,0,0.0,clear sky
Gizo,SB,-8.103,156.8419,80.82,77,99,3.11,light rain
Bluff,NZ,-46.6,168.3333,47.8,81,100,22.44,moderate rain
Vaasa,FI,63.096,21.6158,45.95,100,40,2.3,fog
Narsaq,GL,60.9167,-46.05,37.62,61,55,2.62,broken clouds
Bathsheba,BB,13.2167,-59.5167,84.81,79,75,19.57,broken clouds
Barrow,US,71.2906,-156.7887,26.62,80,100,11.5,overcast clouds
Nsanje,MW,-16.92,35.262,79.23,50,0,6.4,clear sky
Sumenep,ID,-7.0167,113.8667,80.13,79,96,3.76,overcast clouds
Rocha,UY,-34.4833,-54.3333,67.21,55,0,10.96,clear sky
Tezu,IN,27.9167,96.1667,76.96,80,99,2.48,overcast clouds
Troitskoye,RU,52.9821,84.6757,26.83,87,13,7.45,few clouds
Niles,US,42.0189,-87.8028,69.53,72,20,17.27,few clouds
Yerbogachen,RU,61.2767,108.0108,28.11,82,99,5.1,overcast clouds
Dubuque,US,42.4833,-90.8668,72.19,47,0,10.36,clear sky
Bilibino,RU,68.0546,166.4372,27.3,96,100,1.03,overcast clouds
Sabang,ID,5.8933,95.3214,81.59,77,100,19.1,light rain
Balikpapan,ID,-1.2675,116.8289,77.99,100,40,4.61,scattered clouds
Dickinson,US,29.4608,-95.0513,87.17,35,0,10.36,clear sky
Klaksvik,FO,62.2266,-6.589,50.92,82,15,25.3,few clouds
Beihai,CN,21.4833,109.1,80.33,85,5,8.68,clear sky
Vila,PT,42.0304,-8.1588,63.48,66,100,3.47,overcast clouds
Saint-Louis,SN,16.3333,-15.0,94.53,28,53,2.86,broken clouds
Smithers,CA,54.7804,-127.1743,57.52,72,40,2.3,scattered clouds
Port Hedland,AU,-20.3167,118.5667,73.45,78,75,16.11,broken clouds
Tessaoua,NE,13.7574,7.9874,90.7,40,55,13.85,broken clouds
Saquarema,BR,-22.92,-42.5103,73.54,84,18,10.36,few clouds
Kamenka,RU,51.3223,42.7678,67.32,60,100,18.86,overcast clouds
Dauriya,RU,49.9333,116.8667,26.35,56,0,13.87,clear sky
Tasiilaq,GL,65.6145,-37.6368,37.56,96,100,26.96,light rain
Paka,MY,4.6374,103.4368,76.93,100,100,0.0,light rain
Pedasi,PA,7.5333,-80.0333,81.72,75,38,4.16,scattered clouds
Alofi,NU,-19.0595,-169.9187,76.89,65,100,10.36,overcast clouds
Hanna,CA,51.6334,-111.9018,67.86,53,0,5.01,clear sky
Obera,AR,-27.4871,-55.1199,75.36,37,0,5.55,clear sky
Namibe,AO,-15.1961,12.1522,63.84,85,20,1.39,few clouds
Batemans Bay,AU,-35.7167,150.1833,45.64,93,14,3.91,few clouds
Rosetta,EG,31.4044,30.4164,79.02,83,0,14.18,clear sky
Kavaratti,IN,10.5669,72.642,81.32,77,100,11.79,light rain
Luganville,VU,-15.5333,167.1667,77.02,83,40,4.21,scattered clouds
Tomatlan,MX,19.9333,-105.25,74.75,95,100,7.72,overcast clouds
San Cristobal,VE,7.7669,-72.225,80.78,43,81,8.05,broken clouds
Richards Bay,ZA,-28.783,32.0377,69.53,94,4,4.5,clear sky
Nanortalik,GL,60.1432,-45.2371,38.05,78,48,14.2,scattered clouds
Souillac,MU,-20.5167,57.5167,71.98,68,75,9.22,broken clouds
Port Alfred,ZA,-33.5906,26.891,65.17,94,0,1.99,clear sky
Fountain Hills,US,33.6117,-111.7174,93.31,31,0,6.91,clear sky
Santa Marta,CO,11.2408,-74.199,91.45,67,20,5.75,few clouds
Mattawa,US,46.7379,-119.9028,80.02,33,0,3.96,clear sky
Torzhok,RU,57.0436,34.9622,43.75,94,100,8.97,overcast clouds
Platteville,US,42.7342,-90.4785,71.83,49,0,6.91,clear sky
Iquique,CL,-20.2208,-70.1431,62.64,70,48,9.13,scattered clouds
Kijang,KR,35.2442,129.2139,74.93,92,20,9.37,few clouds
Canico,PT,32.6333,-16.85,73.71,68,40,3.44,scattered clouds
Mahebourg,MU,-20.4081,57.7,71.89,68,75,9.22,broken clouds
Bethel,US,41.3712,-73.414,56.48,61,100,13.8,overcast clouds
Eyl,SO,7.9803,49.8164,77.04,79,61,19.22,broken clouds
Dire,ML,12.2833,-10.9667,75.25,89,87,1.95,moderate rain
Chernyshevskiy,RU,63.0128,112.4714,26.31,91,99,6.53,overcast clouds
Geraldton,AU,-28.7667,114.6,55.81,71,40,4.61,scattered clouds
Huainan,CN,32.6264,116.9969,85.21,46,62,4.54,broken clouds
Temir,KZ,49.1414,57.13,47.59,24,23,11.68,few clouds
Wicklow,IE,53.0,-6.4167,51.93,87,100,0.65,overcast clouds
Soto La Marina,MX,23.7667,-98.2167,84.78,47,97,3.65,overcast clouds
Chokurdakh,RU,70.6333,147.9167,16.75,91,85,7.16,overcast clouds
Pyshchug,RU,58.8873,45.7134,49.98,92,100,5.14,overcast clouds
Vanavara,RU,60.34,102.2797,27.32,84,100,5.84,overcast clouds
Sao Bernardo Do Campo,BR,-23.6939,-46.565,71.04,76,20,13.8,few clouds
Byron Bay,AU,-28.65,153.6167,51.94,82,68,8.19,broken clouds
Hoa Binh,VN,20.8133,105.3383,73.71,98,55,1.68,broken clouds
Narayangarh,IN,30.4833,77.1333,75.18,60,0,4.07,clear sky
Severo-Kurilsk,RU,50.6789,156.125,44.1,70,94,9.4,overcast clouds
Sosnovo-Ozerskoye,RU,52.5249,111.5418,19.78,77,17,8.12,few clouds
Kahului,US,20.8947,-156.47,84.97,69,20,9.22,few clouds
Vista Hermosa,MX,19.5167,-99.2167,73.31,34,20,5.75,few clouds
Isangel,VU,-19.55,169.2667,75.31,83,13,6.91,few clouds
Oriximina,BR,-1.7656,-55.8661,90.84,47,93,0.65,overcast clouds
Puerto Narino,CO,-3.7703,-70.3831,81.52,84,77,1.57,heavy intensity rain
Kysyl-Syr,RU,63.8986,122.7617,22.41,83,45,3.8,scattered clouds
Ostersund,SE,63.1792,14.6357,49.6,100,0,5.75,clear sky
Abonnema,NG,4.7084,6.7931,77.29,91,100,3.91,overcast clouds
Vostok,RU,46.4856,135.8833,47.1,95,72,5.21,broken clouds
Mehamn,NO,71.0357,27.8492,40.91,93,75,2.3,broken clouds
Manikpur,IN,25.0667,81.1167,78.78,60,8,2.3,clear sky
Inhambane,MZ,-23.865,35.3833,70.74,82,0,7.67,clear sky
Westport,US,41.1415,-73.3579,58.28,61,100,20.71,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,62.89,93,0,7.83,clear sky
Andra,RU,62.5147,65.8878,34.56,87,100,9.26,overcast clouds
Tual,ID,-5.6667,132.75,82.89,73,100,8.39,overcast clouds
Clyde River,CA,70.4692,-68.5914,30.43,74,100,5.75,overcast clouds
Zabol,AF,32.25,67.25,63.81,25,0,8.55,clear sky
Vila Franca Do Campo,PT,37.7167,-25.4333,76.19,87,72,14.25,broken clouds
Kailua,US,21.4022,-157.7394,80.58,90,54,11.54,light rain
Kropotkin,RU,45.4375,40.5756,72.18,50,100,5.41,overcast clouds
Kulhudhuffushi,MV,6.6221,73.07,80.65,79,100,22.84,overcast clouds
Nome,US,64.5011,-165.4064,35.67,70,0,4.61,clear sky
Uvarovka,RU,55.5278,35.6061,46.62,95,100,12.44,light rain
Formosa Do Rio Preto,BR,-11.0483,-45.1931,98.13,19,38,7.52,scattered clouds
Zhireken,RU,52.8249,117.3076,22.46,63,13,3.67,few clouds
Andenes,NO,69.3143,16.1194,39.18,87,20,4.61,few clouds
Bay Roberts,CA,47.5999,-53.2648,51.33,51,100,3.0,overcast clouds
Merauke,ID,-8.4667,140.3333,77.09,93,98,8.77,overcast clouds
Hailun,CN,47.45,126.9333,46.18,78,100,15.97,overcast clouds
Mangrol,IN,21.1167,70.1167,79.92,76,6,8.16,clear sky
Oneida,US,43.2001,-75.4663,65.7,47,0,10.36,clear sky
Fairbanks,US,64.8378,-147.7164,39.81,94,100,3.44,mist
Kilindoni,TZ,-7.9139,39.6668,75.83,76,6,15.73,clear sky
Thinadhoo,MV,0.5333,72.9333,82.4,68,100,15.17,overcast clouds
Bonito,BR,-21.1211,-56.4819,87.26,39,14,8.63,few clouds
Lavrentiya,RU,65.5833,-171.0,34.84,81,18,9.48,few clouds
Prince George,CA,53.9166,-122.753,64.26,65,100,6.91,overcast clouds
Pedernales,DO,18.0384,-71.744,86.99,66,100,10.47,overcast clouds
Aksarka,RU,66.5606,67.7975,35.76,86,100,11.97,overcast clouds
Aykhal,RU,66.0,111.5,19.63,94,99,12.03,overcast clouds
Buarcos,PT,40.166,-8.8768,71.94,75,0,11.5,clear sky
College,US,64.8569,-147.8028,39.79,93,100,3.44,mist
Muscat,OM,23.6139,58.5922,86.02,66,0,2.82,clear sky
Faya,SA,18.3851,42.4509,64.51,58,6,1.63,clear sky
Svetlogorsk,BY,52.6333,29.7333,44.2,92,100,21.88,overcast clouds
Daru,PG,-9.0763,143.2092,78.53,89,80,10.83,broken clouds
Dubbo,AU,-32.25,148.6167,42.93,93,6,10.36,clear sky
Makakilo City,US,21.3469,-158.0858,79.12,80,100,8.05,light rain
Korhogo,CI,9.45,-5.6333,74.07,91,73,5.06,broken clouds
Wrexham,GB,53.0,-3.0,55.04,90,5,5.01,clear sky
Kutum,SD,14.2,24.6667,81.66,38,95,9.31,light rain
Iskateley,RU,67.6803,53.1512,40.42,95,100,1.07,overcast clouds
Srednekolymsk,RU,67.45,153.6833,24.37,88,96,1.48,overcast clouds
Yatou,CN,37.15,122.3833,67.91,92,96,4.03,overcast clouds
Ciudad Bolivar,VE,8.1222,-63.5497,90.48,50,100,2.53,overcast clouds
Boulder,US,40.0833,-105.3505,65.57,56,0,4.0,clear sky
Ponta Do Sol,PT,32.6667,-17.1,72.72,83,61,5.32,broken clouds
Nemuro,JP,43.3236,145.575,56.12,73,2,10.85,clear sky
Minjur,IN,13.2667,80.2667,86.02,71,90,5.3,overcast clouds
Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,80,20,2.24,few clouds
Uhlove,UA,44.8215,33.6045,62.02,62,37,18.41,scattered clouds
Mullingar,IE,53.5333,-7.35,55.67,74,100,5.03,overcast clouds
Upernavik,GL,72.7868,-56.1549,23.0,88,12,10.71,few clouds
Peniche,PT,39.3558,-9.3811,74.28,76,1,14.76,clear sky
Romilly-Sur-Seine,FR,48.5108,3.7263,57.58,91,100,4.27,overcast clouds
Popondetta,PG,-8.7537,148.2534,72.63,89,11,3.02,few clouds
Vao,NC,-22.6667,167.4833,70.32,70,100,9.31,overcast clouds
Buala,SB,-8.145,159.5921,79.32,82,23,3.74,few clouds
Usinsk,RU,65.9939,57.5281,41.92,95,100,10.71,light rain
Morrinhos,BR,-17.7311,-49.0994,76.46,64,100,5.84,overcast clouds
Wuwei,CN,37.9281,102.6414,48.52,42,98,2.95,overcast clouds
Lagoa,PT,39.05,-27.9833,70.29,90,100,18.66,light rain
Chivilcoy,AR,-34.8957,-60.0167,83.1,22,100,6.38,overcast clouds
Yaan,NG,7.3833,8.5667,74.62,90,54,4.92,broken clouds
Hasaki,JP,35.7333,140.8333,66.6,65,100,5.77,overcast clouds
Airai,TL,-8.9266,125.4092,61.99,90,100,1.19,overcast clouds
Zinder,NE,13.8072,8.9881,94.68,28,100,9.01,overcast clouds
Praia,CV,14.9215,-23.5087,81.14,65,75,17.27,broken clouds
Saint-Augustin,CA,51.226,-58.6502,48.51,36,100,17.05,overcast clouds
Poronaysk,RU,49.2167,143.1167,49.21,89,85,11.79,overcast clouds
Moron,AR,-34.6534,-58.6198,82.8,45,8,5.91,clear sky
Mamonovo,RU,54.4643,19.938,53.91,84,85,15.1,overcast clouds
Ballitoville,ZA,-29.539,31.2144,71.74,83,100,5.75,overcast clouds
Oranjestad,AW,12.524,-70.027,89.55,66,40,13.8,scattered clouds
Leningradskiy,RU,69.3833,178.4167,25.07,80,100,2.66,overcast clouds
Concordia,AR,-31.393,-58.0209,77.07,39,20,8.05,few clouds
Olafsvik,IS,64.8945,-23.7142,45.45,86,100,17.4,moderate rain
Elizabeth City,US,36.2946,-76.2511,71.62,76,100,5.75,overcast clouds
Bud,US,39.447,-86.1758,72.86,56,0,14.65,clear sky
Deputatskiy,RU,69.3,139.9,-0.36,98,98,5.01,overcast clouds
Dehui,CN,44.5333,125.7,54.14,67,100,9.98,overcast clouds
Skibbereen,IE,51.55,-9.2667,54.1,77,100,4.7,overcast clouds
Nikolskoye,RU,59.7035,30.7861,45.79,96,100,4.88,overcast clouds
Margate,GB,51.3813,1.3862,56.7,64,0,5.77,clear sky
Cairns,AU,-16.9167,145.7667,71.55,89,48,3.44,scattered clouds
Port Moresby,PG,-9.4431,147.1797,76.42,94,40,5.75,scattered clouds
Luderitz,NA,-26.6481,15.1594,62.1,65,0,13.65,clear sky
Jardim,BR,-21.4803,-56.1381,85.93,46,55,6.69,broken clouds
Constitucion,CL,-35.3333,-72.4167,61.34,68,23,8.01,few clouds
