City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Dunedin,NZ,-45.8742,170.5036,43.77,81,6,7.72,clear sky
Waipawa,NZ,-41.4122,175.5153,48.61,97,100,4.27,overcast clouds
Udachnyy,RU,66.4167,112.4,21.29,96,100,7.92,overcast clouds
Najran,SA,17.4924,44.1277,75.85,15,53,1.14,broken clouds
Santa Cruz De Tenerife,ES,28.4682,-16.2546,75.45,74,20,3.44,few clouds
Hofn,IS,64.2539,-15.2082,47.3,68,95,8.97,overcast clouds
Jacareacanga,BR,-6.2222,-57.7528,76.06,85,100,1.99,overcast clouds
Lorengau,PG,-2.0226,147.2712,80.82,77,42,5.14,scattered clouds
Henties Bay,NA,-22.116,14.2845,56.75,92,7,5.23,clear sky
Lumut,MY,4.2323,100.6298,80.62,83,20,1.14,few clouds
Beringovskiy,RU,63.05,179.3167,40.89,82,100,10.89,light rain
Lang Suan,TH,9.9456,99.0785,76.37,87,99,4.21,overcast clouds
Divnomorskoye,RU,44.5011,38.1353,66.42,91,100,13.62,overcast clouds
Camacha,PT,33.0833,-16.3333,69.22,68,40,4.61,scattered clouds
Betul,IN,21.9153,77.8961,69.82,84,53,4.63,broken clouds
Saldanha,ZA,-33.0117,17.9442,57.25,81,0,7.31,clear sky
Ternate,ID,0.8,127.4,79.32,80,70,4.18,broken clouds
San Patricio,US,28.017,-97.5169,84.29,37,100,7.99,overcast clouds
Darhan,MN,49.4867,105.9228,29.53,47,99,4.88,overcast clouds
Adrar,MR,20.5022,-10.0711,94.8,22,100,9.19,overcast clouds
Dalvik,IS,65.9702,-18.5286,46.33,87,75,10.74,broken clouds
San Felipe,VE,10.3399,-68.7425,90.41,45,100,6.4,overcast clouds
Union,US,40.6334,-74.2663,59.58,85,100,23.02,light intensity drizzle
Tirodi,IN,21.6833,79.7,73.38,78,100,5.26,overcast clouds
Antibes,FR,43.5624,7.1278,67.48,83,75,5.75,broken clouds
Bundaberg,AU,-24.85,152.35,57.22,97,61,4.0,broken clouds
Novo Aripuana,BR,-5.1206,-60.3797,92.35,43,99,0.74,light rain
Kirakira,SB,-10.4544,161.9205,78.37,85,17,5.5,few clouds
North Bend,US,43.4065,-124.2243,58.15,94,100,3.44,overcast clouds
Comodoro Rivadavia,AR,-45.8667,-67.5,53.46,62,0,20.71,clear sky
Isla Vista,US,34.4133,-119.861,75.83,69,0,8.05,clear sky
Caravelas,BR,-17.7125,-39.2481,77.81,71,26,9.4,scattered clouds
Khandyga,RU,62.6667,135.6,20.34,72,92,3.89,overcast clouds
San Blas,MX,21.5167,-105.2667,89.49,85,100,4.45,overcast clouds
Ilebo,CD,-4.3167,20.5833,68.14,97,100,2.01,overcast clouds
Cariamanga,EC,-4.3333,-79.55,68.77,30,100,6.33,overcast clouds
Frontera,MX,26.9333,-101.45,74.32,60,100,1.99,overcast clouds
Ossora,RU,59.2353,163.0719,35.74,81,77,5.39,broken clouds
San Policarpo,PH,12.1791,125.5072,81.59,80,100,6.26,overcast clouds
Shakawe,BW,-18.3667,21.85,77.16,18,0,5.19,clear sky
Porbandar,IN,21.6422,69.6093,80.91,72,0,8.34,clear sky
Chara,RU,56.9064,118.2631,18.28,77,100,2.91,overcast clouds
Srandakan,ID,-7.9386,110.2506,76.82,88,95,3.22,overcast clouds
Hovd,MN,48.0056,91.6419,22.62,42,3,3.42,clear sky
Pimentel,PE,-6.8367,-79.9342,70.09,60,20,14.97,few clouds
Mount Gambier,AU,-37.8333,140.7667,47.89,91,100,3.33,overcast clouds
Yeppoon,AU,-23.1333,150.7333,64.18,85,92,11.34,overcast clouds
Kaliganj,BD,23.4095,89.1402,77.81,93,100,4.21,light rain
Dakar,SN,14.6937,-17.4441,82.53,74,0,6.91,clear sky
La Asuncion,VE,11.0333,-63.8628,84.88,70,4,12.44,clear sky
Naze,JP,28.3667,129.4833,77.92,74,22,8.86,few clouds
Kismayo,SO,-0.3582,42.5454,76.3,72,54,17.9,broken clouds
Bambanglipuro,ID,-7.95,110.2833,76.69,88,93,3.29,overcast clouds
Chapais,CA,49.7834,-74.8492,44.38,36,10,5.28,clear sky
Asau,RO,46.4333,26.4,51.28,70,56,6.8,broken clouds
Maba,CN,24.6841,113.5984,76.5,81,0,1.63,clear sky
Avera,US,33.194,-82.5271,76.55,45,39,8.32,scattered clouds
Savannah Bight,HN,16.45,-85.85,79.59,74,96,2.17,overcast clouds
Yarim,YE,14.298,44.3779,59.92,60,99,3.67,light rain
Dinard,FR,48.6314,-2.0614,61.29,94,100,9.22,overcast clouds
Santiago,CL,-33.4569,-70.6483,86.29,43,0,16.11,clear sky
Waseca,US,44.0777,-93.5074,73.42,41,0,12.66,clear sky
Talnakh,RU,69.4865,88.3972,29.21,95,67,9.55,broken clouds
Candido Mendes,BR,-1.4467,-45.7167,85.95,60,56,8.57,broken clouds
Severodvinsk,RU,64.5635,39.8302,41.11,82,22,6.93,few clouds
Kasongo,CD,-4.45,26.6667,72.12,85,100,5.73,light rain
Kavieng,PG,-2.5744,150.7967,81.46,76,2,10.2,light rain
Susangerd,IR,31.5608,48.1831,89.55,14,0,11.05,clear sky
Ilulissat,GL,69.2167,-51.1,33.82,75,75,0.0,broken clouds
Sumbe,AO,-11.2061,13.8437,73.15,84,51,6.71,broken clouds
Ballinrobe,IE,53.6333,-9.2333,55.74,75,100,4.7,overcast clouds
Kjollefjord,NO,70.9457,27.3465,42.85,93,75,2.3,broken clouds
Honiara,SB,-9.4333,159.95,76.62,86,86,3.22,overcast clouds
Amapa,BR,1.0,-52.0,97.18,29,97,5.5,overcast clouds
Impfondo,CG,1.6381,18.0667,70.05,99,92,3.8,light rain
Beyneu,KZ,45.3167,55.2,54.19,36,0,18.59,clear sky
Palana,RU,59.1167,159.9667,35.85,77,99,7.83,overcast clouds
Gazli,UZ,40.1333,63.45,58.06,16,100,7.54,overcast clouds
Esperance,AU,-33.8667,121.9,53.37,79,81,17.43,broken clouds
Marrakesh,MA,31.6315,-8.0083,84.27,26,4,4.61,haze
Olinda,BR,-8.0089,-34.8553,74.93,83,75,4.61,broken clouds
Svetlaya,RU,46.5389,138.3297,51.64,88,7,9.26,clear sky
Balkhash,KZ,46.844,74.9804,40.95,42,0,21.65,clear sky
Kisangani,CD,0.5167,25.2,71.31,98,100,1.25,overcast clouds
Sobradinho,BR,-12.8333,-39.1,81.5,59,34,9.37,scattered clouds
Chokwe,MZ,-24.5333,32.9833,75.51,67,0,8.16,clear sky
Carballo,ES,43.213,-8.691,66.0,96,96,3.11,overcast clouds
Alice Springs,AU,-23.7,133.8833,67.55,43,100,9.22,overcast clouds
Vanimo,PG,-2.6741,141.3028,76.46,91,94,5.03,overcast clouds
Ostrovnoy,RU,68.0531,39.5131,38.19,80,100,8.99,overcast clouds
Karachev,RU,53.1229,34.9852,57.18,96,100,11.43,overcast clouds
Quatre Cocos,MU,-20.2078,57.7625,71.71,71,95,14.45,overcast clouds
Fort Nelson,CA,58.8053,-122.7002,58.59,33,40,5.75,scattered clouds
Korla,CN,41.7597,86.1469,48.18,23,0,12.93,clear sky
Ukiah,US,39.1502,-123.2078,86.38,67,100,6.91,overcast clouds
Warri,NG,5.5167,5.75,74.48,92,100,3.89,overcast clouds
Bairiki,KI,1.3292,172.9752,80.6,78,75,14.97,broken clouds
Keti Bandar,PK,24.1447,67.4497,81.3,69,0,11.56,clear sky
Te Anau,NZ,-45.4167,167.7167,38.44,94,97,1.81,overcast clouds
Queanbeyan,AU,-35.35,149.2333,42.46,95,0,3.44,clear sky
Christchurch,NZ,-43.5333,172.6333,45.91,83,40,8.05,scattered clouds
Gamba,GA,-2.65,10.0,76.35,88,100,5.37,overcast clouds
Ambulu,ID,-8.345,113.6058,76.1,90,92,0.85,overcast clouds
Magsingal,PH,17.685,120.4244,77.61,79,58,4.16,broken clouds
Zaria,NG,11.1113,7.7227,72.88,85,84,6.55,light rain
Mlonggo,ID,-6.5333,110.7,79.75,80,100,5.44,overcast clouds
Buchanan,LR,5.8808,-10.0467,76.21,90,100,7.56,light rain
Shitkino,RU,56.3703,98.3543,27.88,92,99,7.18,overcast clouds
Banjar,ID,-8.19,114.9675,76.78,92,95,5.44,overcast clouds
Mariental,NA,-24.6333,17.9667,84.92,14,0,4.32,clear sky
Ahipara,NZ,-35.1667,173.1667,58.42,94,42,7.09,scattered clouds
Tefe,BR,-3.3542,-64.7114,89.71,62,20,4.61,few clouds
Taksimo,RU,56.3444,114.8794,22.98,71,92,4.25,overcast clouds
Tamiahua,MX,21.2667,-97.45,80.24,69,100,8.79,overcast clouds
Yenagoa,NG,4.9247,6.2642,73.99,95,100,3.44,overcast clouds
Pochutla,MX,15.7432,-96.4661,85.82,65,95,5.5,overcast clouds
Krutaya Gorka,RU,55.3649,73.2231,29.88,75,4,6.85,clear sky
Elko,US,41.0002,-115.5012,66.74,29,100,5.99,overcast clouds
Nouakchott,MR,18.0858,-15.9785,82.33,57,0,13.04,clear sky
Tukrah,LY,32.5341,20.5791,74.62,64,0,17.0,clear sky
Bubaque,GW,11.2833,-15.8333,81.39,76,54,7.94,broken clouds
Omboue,GA,-1.5746,9.2618,76.68,87,100,8.19,overcast clouds
Codrington,AU,-38.2667,141.9667,45.79,90,100,4.81,overcast clouds
Khovu-Aksy,RU,51.1333,93.6,17.06,69,0,3.98,clear sky
Montrose,US,38.4166,-108.2673,49.41,60,100,4.18,overcast clouds
Sao Joao De Pirabas,BR,-0.7747,-47.1772,82.4,70,90,9.78,overcast clouds
Hegang,CN,47.4,130.3667,50.52,86,100,6.33,overcast clouds
Muros,ES,42.7762,-9.0603,67.08,73,93,8.32,overcast clouds
Marawi,PH,7.9986,124.2928,69.08,92,100,2.84,light rain
Ndele,CF,8.4109,20.6473,72.28,93,98,1.28,moderate rain
Touros,BR,-5.1989,-35.4608,80.83,63,5,16.31,clear sky
Aravissos,GR,40.84,22.2956,66.92,47,0,5.44,clear sky
Salalah,OM,17.0151,54.0924,80.69,83,75,10.36,broken clouds
Taltal,CL,-25.4,-70.4833,64.15,64,39,7.74,scattered clouds
Viedma,AR,-40.8135,-62.9967,58.91,38,97,14.7,overcast clouds
Nouadhibou,MR,20.931,-17.0347,75.18,64,0,13.8,sand
Tilichiki,RU,60.4667,166.1,30.22,89,100,4.99,overcast clouds
Bende,NG,5.5572,7.6368,73.06,96,87,3.56,overcast clouds
Kasongo-Lunda,CD,-6.4667,16.8167,72.32,91,99,2.51,overcast clouds
Saint-Anselme,CA,46.6292,-70.9734,53.02,45,3,3.0,clear sky
Iqaluit,CA,63.7506,-68.5145,33.53,64,75,15.01,broken clouds
Vuktyl,RU,63.8567,57.3094,44.89,91,100,12.71,light rain
Yarmouth,US,41.7057,-70.2286,55.99,80,100,16.11,overcast clouds
Adelaide,AU,-34.9333,138.6,64.44,42,0,12.66,clear sky
Bonnyville,CA,54.2668,-110.735,67.8,31,0,8.7,clear sky
Alpena,US,45.0617,-83.4327,55.72,62,0,5.75,clear sky
Maumere,ID,-8.6199,122.2111,79.47,80,45,4.34,scattered clouds
Pacific Grove,US,36.6177,-121.9166,69.48,68,40,8.05,scattered clouds
Sisimiut,GL,66.9395,-53.6735,34.61,76,77,9.01,broken clouds
Mayumba,GA,-3.432,10.6554,76.03,90,99,5.32,overcast clouds
Dongli,CN,23.5656,116.8194,76.98,94,0,0.0,clear sky
Ndioum,SN,16.5129,-14.6471,94.89,24,76,3.47,broken clouds
Rundu,NA,-17.9333,19.7667,76.78,16,0,5.28,clear sky
Ballina,AU,-28.8667,153.5667,52.02,99,63,7.61,broken clouds
Tessalit,ML,20.1986,1.0114,97.65,19,97,4.92,overcast clouds
Jibuti,DJ,11.5,42.5,84.27,48,12,7.49,few clouds
Doka,SD,13.5167,35.7667,78.1,71,100,5.68,overcast clouds
Jalu,LY,29.0331,21.5482,85.51,43,0,21.41,clear sky
Faro,PT,37.0194,-7.9322,74.98,53,0,6.91,clear sky
Poya,NC,-21.35,165.15,69.48,80,100,3.04,overcast clouds
Baruun-Urt,MN,46.6806,113.2792,25.43,58,81,13.67,broken clouds
Aller,ES,43.1187,-5.5839,59.13,88,100,1.83,overcast clouds
Rize,TR,40.9044,40.8949,56.86,38,100,5.61,overcast clouds
Killybegs,IE,54.6333,-8.45,55.11,81,100,4.97,overcast clouds
Hue,VN,16.4667,107.6,78.91,89,75,4.61,broken clouds
Yongan,CN,39.6957,113.6871,56.14,90,100,5.97,overcast clouds
Warrington,GB,53.3925,-2.5802,55.27,85,0,5.75,clear sky
Laguna,US,38.421,-121.4238,78.78,55,0,6.91,clear sky
Snyder,US,32.7179,-100.9176,83.08,29,0,0.0,clear sky
Harnosand,SE,62.6323,17.9379,48.0,90,100,5.93,overcast clouds
San Rafael,AR,-34.6177,-68.3301,83.1,18,12,21.5,few clouds
Tambopata,PE,-12.7333,-69.1833,91.29,49,40,5.75,scattered clouds
Hami,CN,42.8,93.45,43.32,17,3,8.12,clear sky
Tabas,IR,33.5959,56.9244,75.42,22,0,4.61,clear sky
Ulundi,ZA,-28.3352,31.4162,67.41,91,31,1.99,scattered clouds
Awka,NG,6.2101,7.0741,74.98,92,100,4.83,overcast clouds
Xushan,CN,30.1764,121.2457,78.73,93,2,5.1,clear sky
Fort Saint James,CA,54.4333,-124.25,64.31,54,76,3.06,broken clouds
Honningsvag,NO,70.9821,25.9704,42.55,81,100,0.0,light rain
Juneau,US,58.3019,-134.4197,50.11,92,75,5.75,broken clouds
Duluth,US,46.7833,-92.1066,64.08,80,40,13.8,scattered clouds
Nakamura,JP,32.9833,132.9333,70.54,88,100,2.84,overcast clouds
Qaqortoq,GL,60.7167,-46.0333,37.53,69,47,3.83,scattered clouds
Soke,ML,13.598,-5.9386,81.55,68,99,6.91,light rain
Wanaka,NZ,-44.7,169.15,39.11,87,86,1.01,overcast clouds
Tyukalinsk,RU,55.8732,72.1967,29.37,72,0,6.31,clear sky
Kushima,JP,31.4583,131.2333,70.34,82,41,4.43,scattered clouds
Walla Walla,US,46.0646,-118.343,77.67,51,0,5.01,clear sky
Sambava,MG,-14.2667,50.1667,68.43,82,5,9.75,clear sky
Padang,ID,-0.9492,100.3543,75.94,93,100,2.89,overcast clouds
Sur,OM,22.5667,59.5289,80.87,78,2,13.09,clear sky
Tuatapere,NZ,-46.1333,167.6833,43.34,91,100,9.69,overcast clouds
Cayenne,GF,4.9333,-52.3333,89.64,55,40,9.22,scattered clouds
Saurimo,AO,-9.6608,20.3916,66.33,88,95,10.07,light rain
Tiszaalpar,HU,46.8128,19.9984,59.29,77,100,11.05,overcast clouds
Tikhvin,RU,59.6451,33.5294,37.22,91,64,6.4,broken clouds
Palmer,US,42.1584,-72.3287,56.62,47,75,13.8,broken clouds
Santa Fe,AR,-31.6333,-60.7,84.0,29,0,5.01,light rain
Cabra,ES,37.4725,-4.4421,76.19,29,90,3.47,overcast clouds
Ingham,US,42.6,-84.3833,67.17,47,0,13.8,clear sky
Kamina,CD,-8.7386,24.9906,72.99,65,88,12.15,overcast clouds
Port Keats,AU,-14.25,129.55,77.88,70,7,2.98,clear sky
Turukhansk,RU,65.8167,87.9833,28.83,81,99,8.34,overcast clouds
Brindisi,IT,40.5833,17.6667,68.43,66,14,3.04,few clouds
Pokaran,IN,26.9167,71.9167,84.06,45,0,16.2,clear sky
Pundaguitan,PH,6.3711,126.1689,82.27,73,100,6.46,overcast clouds
Ponta Delgada,PT,37.7333,-25.6667,76.5,83,20,11.5,few clouds
Tommot,RU,58.9564,126.2925,24.53,94,100,6.51,light snow
Porto Velho,BR,-8.7619,-63.9039,93.25,43,40,3.44,scattered clouds
Zilupe,LV,56.3862,28.1217,44.44,87,100,7.27,overcast clouds
Moyale,KE,3.5167,39.0584,74.25,41,98,5.57,overcast clouds
Nizwa,OM,22.9333,57.5333,81.97,55,37,10.8,scattered clouds
Emerald,AU,-23.5333,148.1667,66.34,100,100,5.75,overcast clouds
Dnipryany,UA,46.7463,33.2729,55.58,72,16,15.19,few clouds
Marystown,CA,47.1666,-55.1483,52.21,45,100,12.97,overcast clouds
Duncan,US,34.5023,-97.9578,86.05,21,0,0.0,clear sky
Nyurba,RU,63.2842,118.3319,26.78,97,95,3.0,overcast clouds
Robertsport,LR,6.7533,-11.3686,78.22,86,100,14.54,light rain
Medea,DZ,36.2642,2.7539,73.51,35,100,3.49,overcast clouds
Msanga,TZ,-6.05,36.0333,70.75,43,92,9.44,overcast clouds
Kyzyl-Suu,KG,42.3414,78.0056,47.5,50,80,3.44,broken clouds
Bull Savanna,JM,17.8868,-77.5902,81.97,72,81,8.9,broken clouds
Numazu,JP,35.1,138.8667,67.01,77,100,4.21,overcast clouds
Maniitsoq,GL,65.4167,-52.9,35.65,60,100,2.28,overcast clouds
Mae Hong Son,TH,19.3003,97.9685,73.72,99,100,0.65,overcast clouds
Akyab,MM,20.15,92.9,79.21,91,100,13.2,heavy intensity rain
Tazovskiy,RU,67.4667,78.7,33.96,82,100,12.75,overcast clouds
Bangalore,IN,12.9762,77.6033,72.93,63,100,7.67,overcast clouds
Poum,NC,-20.2333,164.0167,74.16,71,97,15.9,overcast clouds
Gengenbach,DE,48.4,8.0167,58.14,94,100,0.0,light rain
Kunda,IN,25.7167,81.5167,79.11,62,8,2.59,clear sky
Buseresere,TZ,-3.0236,31.8747,70.27,72,14,4.83,few clouds
Talas,TR,38.6908,35.5538,68.67,52,75,13.8,broken clouds
Novyye Burasy,RU,52.1324,46.0714,59.0,86,100,9.44,overcast clouds
Portland,US,45.5234,-122.6762,85.33,49,0,8.05,clear sky
Colquechaca,BO,-18.6667,-66.0167,43.02,48,97,3.31,overcast clouds
El Alto,PE,-4.2714,-81.2147,69.46,71,86,6.91,overcast clouds
Mossendjo,CG,-2.9506,12.7261,72.03,93,100,3.18,overcast clouds
Tsabong,BW,-26.0217,22.401,80.51,12,0,5.68,clear sky
Puerto Escondido,MX,15.85,-97.0667,86.83,58,20,5.75,few clouds
Verkhoyansk,RU,67.5447,133.385,15.48,98,96,3.0,overcast clouds
Diffa,NE,13.3154,12.6113,92.7,33,100,6.93,overcast clouds
Valente,BR,-11.4122,-39.4619,90.66,31,50,15.64,scattered clouds
Langfang,CN,39.5097,116.6947,63.55,93,100,7.18,overcast clouds
Dalnerechensk,RU,45.9339,133.7225,53.19,95,14,6.42,few clouds
Cordoba,AR,-31.4135,-64.1811,84.76,25,20,13.8,few clouds
Taganak,PH,6.0833,118.3,78.94,78,100,4.52,overcast clouds
Namatanai,PG,-3.6667,152.4333,78.31,76,7,6.85,clear sky
Batagay-Alyta,RU,67.8006,130.4114,5.4,87,36,4.81,scattered clouds
Njombe,TZ,-9.3333,34.7667,53.56,67,2,3.98,clear sky
Kamaishi,JP,39.2667,141.8833,65.52,85,100,3.69,overcast clouds
Ust-Ordynskiy,RU,52.805,104.7508,29.55,85,100,12.39,overcast clouds
Ulladulla,AU,-35.35,150.4667,47.73,87,14,4.21,few clouds
Siauliai,LT,55.9333,23.3167,48.22,100,100,10.36,overcast clouds
Lubao,PH,14.9167,120.55,82.11,86,98,5.61,overcast clouds
Tarakan,ID,3.3,117.6333,80.04,76,100,1.83,moderate rain
Visby,SE,57.6409,18.296,53.06,93,20,6.91,few clouds
Palmerston,AU,-12.486,130.9833,78.89,89,100,0.0,overcast clouds
High Prairie,CA,55.4334,-116.4858,67.21,32,100,6.04,overcast clouds
Beaune,FR,47.0833,4.75,57.63,92,61,5.32,broken clouds
Gat,IL,31.61,34.7642,78.4,78,0,1.45,clear sky
Demirci,TR,39.0461,28.6589,57.49,59,0,8.43,clear sky
Torit,SS,4.4133,32.5678,75.72,67,26,3.09,scattered clouds
Truro,GB,50.2653,-5.0544,54.68,87,0,3.44,clear sky
Mount Isa,AU,-20.7333,139.5,74.97,29,100,5.75,overcast clouds
Kiama,AU,-34.6833,150.8667,52.0,91,3,4.03,clear sky
Mandalgovi,MN,45.7625,106.2708,21.36,74,81,13.67,broken clouds
Pafos,CY,34.7667,32.4167,78.58,21,0,4.61,clear sky
Aksu,CN,41.1231,80.2644,56.68,25,99,3.58,overcast clouds
Bereda,ES,43.2686,-7.5406,62.58,100,100,3.74,overcast clouds
Atambua,ID,-9.1061,124.8925,74.46,87,99,1.1,overcast clouds
Slave Lake,CA,55.2834,-114.769,64.38,59,0,12.66,clear sky
Aleksandrov Gay,RU,50.147,48.5704,66.7,38,92,17.9,overcast clouds
Sikonge,TZ,-5.6333,32.7667,76.96,19,9,11.43,clear sky
Shubarshi,KZ,48.5872,57.1869,46.85,21,21,10.94,few clouds
Cepu,ID,-7.1475,111.5906,77.0,88,97,2.33,overcast clouds
Solihull,GB,52.4143,-1.7809,54.99,79,40,5.75,scattered clouds
Camana,PE,-16.6228,-72.7111,65.62,71,51,8.1,broken clouds
Half Moon Bay,US,37.4636,-122.4286,76.53,62,100,9.22,overcast clouds
Meulaboh,ID,4.1363,96.1285,75.96,86,100,2.98,overcast clouds
Den Helder,NL,52.9599,4.7593,58.98,78,40,13.0,scattered clouds
Inverell,AU,-29.7833,151.1167,43.16,95,0,3.0,clear sky
Trabzon,TR,40.9167,39.8333,71.69,65,75,23.02,broken clouds
Villanueva De La Serena,ES,38.9766,-5.7974,75.29,22,85,1.68,overcast clouds
Hay River,CA,60.8156,-115.7999,53.58,50,20,25.32,few clouds
Humaita,BR,-7.5061,-63.0208,94.48,38,76,3.44,broken clouds
San Pedro,PH,14.35,121.0167,81.63,86,75,3.44,broken clouds
Thunder Bay,CA,48.4001,-89.3168,58.98,58,20,8.05,few clouds
Omsukchan,RU,62.5333,155.8,11.3,97,93,3.53,overcast clouds
Bitung,ID,1.4451,125.1824,72.45,82,63,6.29,broken clouds
Shingu,JP,33.7333,135.9833,69.67,81,86,6.24,overcast clouds
Haines Junction,CA,60.7522,-137.5108,51.75,46,70,6.91,broken clouds
Lethem,GY,3.3803,-59.7968,84.63,66,75,7.85,broken clouds
Kelvington,CA,52.1667,-103.5343,67.14,44,0,6.93,clear sky
Port Lavaca,US,28.615,-96.6261,86.32,34,0,5.75,clear sky
Baykit,RU,61.67,96.37,29.55,91,100,4.63,overcast clouds
Grand-Santi,GF,4.25,-54.3833,89.08,49,100,2.37,overcast clouds
Sirsilla,IN,18.3833,78.8333,75.24,81,100,9.4,overcast clouds
Salinopolis,BR,-0.6136,-47.3561,82.08,74,68,12.84,broken clouds
Bowen,AU,-20.0167,148.2333,73.13,77,63,7.2,broken clouds
Lac-Megantic,CA,45.5834,-70.8823,51.55,41,7,7.96,clear sky
Raymond,US,43.9015,-70.4703,58.6,46,76,10.2,broken clouds
Saint-Joseph,RE,-21.3667,55.6167,66.58,75,18,10.27,few clouds
Gabriel Leyva Solano,MX,25.6667,-108.6417,96.96,35,2,8.03,clear sky
Lata,PT,40.1629,-8.3327,71.92,39,0,1.1,clear sky
Turayf,SA,31.6725,38.6637,73.65,25,0,4.61,clear sky
Limulunga,ZM,-15.0969,23.1376,73.72,21,19,7.18,few clouds
Saint-Pierre,RE,-21.3393,55.4781,67.68,73,0,5.75,clear sky
Veraval,IN,20.9,70.3667,79.36,79,22,8.72,few clouds
Khalkhal,IR,37.6189,48.5258,55.06,67,0,2.91,clear sky
Sinnamary,GF,5.3833,-52.95,83.46,73,97,10.94,overcast clouds
Dongning,CN,44.0622,131.1207,59.07,93,100,3.24,overcast clouds
Dana Point,US,33.467,-117.6981,84.74,70,0,7.0,clear sky
Ndjole,GA,-0.1783,10.7649,73.63,98,88,2.24,moderate rain
West Bay,KY,19.3667,-81.4167,87.87,67,20,10.36,few clouds
Arecibo,PR,18.4724,-66.7157,88.52,84,94,6.04,light rain
Kurgan,RU,55.45,65.3333,40.77,46,99,9.22,overcast clouds
Perepravnaya,RU,44.3366,40.7849,65.32,49,100,4.16,overcast clouds
Pangkalanbuun,ID,-2.6833,111.6167,74.16,97,100,1.48,light rain
Aguimes,ES,27.9054,-15.4461,72.66,83,20,15.01,few clouds
Akdepe,TM,42.0551,59.3788,46.49,22,3,8.7,clear sky
Beloha,MG,-25.1667,45.05,68.88,69,0,2.17,clear sky
Ust-Omchug,RU,61.15,149.6333,16.41,90,100,3.15,overcast clouds
Kendari,ID,-3.945,122.4989,76.62,91,100,0.85,overcast clouds
Powell,US,40.1578,-83.0752,67.59,63,40,18.41,scattered clouds
Shellbrook,CA,53.2168,-106.4011,67.23,37,0,11.54,clear sky
Fort-Shevchenko,KZ,44.5086,50.263,66.65,35,100,29.93,overcast clouds
Mayo,US,38.8876,-76.5119,58.17,94,100,8.01,overcast clouds
Abeche,TD,13.8292,20.8324,80.73,54,3,18.66,clear sky
Iroquois Falls,CA,48.7669,-80.6831,50.43,42,100,3.24,overcast clouds
Binga,ZW,-17.6203,27.3414,76.5,31,0,1.43,clear sky
Mundybash,RU,53.211,87.2983,19.78,97,12,2.84,few clouds
Imperatriz,BR,-5.5264,-47.4917,98.65,34,40,4.61,scattered clouds
Guerrero Negro,MX,27.9769,-114.0611,73.87,59,0,14.29,clear sky
Komsomolskiy,UZ,40.4272,71.7189,59.72,55,7,2.3,clear sky
Lima,PE,-12.0432,-77.0282,59.25,77,100,10.36,overcast clouds
Coahuayana,MX,18.7333,-103.6833,82.67,73,97,2.68,overcast clouds
Ko Samui,TH,9.5357,99.9357,80.83,76,100,2.98,overcast clouds
Kodinsk,RU,58.6881,99.1844,26.92,88,100,4.27,overcast clouds
Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,80.76,88,100,1.77,moderate rain
Kendallville,US,41.4414,-85.265,69.49,45,0,9.22,clear sky
Johnstown,US,40.3267,-78.922,57.67,93,100,8.05,overcast clouds
Sao Felix Do Xingu,BR,-6.6447,-51.995,86.52,40,100,2.84,overcast clouds
Alakurtti,RU,66.9672,30.3491,40.87,98,100,3.74,overcast clouds
Huarmey,PE,-10.0681,-78.1522,68.0,72,34,10.58,scattered clouds
